# r/Å                 g(r)         N(r)
7.595000         0.998360   122.363706
7.605000         0.992983   122.843863
7.615000         0.991903   123.324760
7.625000         0.991419   123.806686
7.635000         0.981760   124.285169
7.645000         0.985132   124.766553
7.655000         0.985618   125.249436
7.665000         0.995927   125.738646
7.675000         0.991245   126.226827
7.685000         0.989265   126.715303
7.695000         0.996497   127.208631
7.705000         1.006043   127.707981
7.715000         1.014750   128.212960
7.725000         1.016075   128.719911
7.735000         1.018181   129.229228
7.745000         1.012207   129.736867
7.755000         1.006189   130.242792
7.765000         1.003276   130.748554
7.775000         1.001250   131.254596
7.785000         1.007002   131.764854
7.795000         1.009704   132.277797
7.805000         1.003974   132.789139
7.815000         1.005031   133.302332
7.825000         1.004855   133.816748
7.835000         1.000501   134.330246
7.845000         1.001390   134.845512
7.855000         0.992435   135.357474
7.865000         0.987384   135.868127
7.875000         0.984346   136.378505
7.885000         0.979579   136.887702
7.895000         0.985026   137.401030
7.905000         0.978847   137.912431
7.915000         0.984862   138.428277
7.925000         0.984675   138.945329
7.935000         0.978288   139.460325
7.945000         0.977738   139.976329
7.955000         0.970042   140.489561
7.965000         0.960529   140.999038
7.975000         0.957258   141.508056
7.985000         0.946575   142.012656
7.995000         0.941414   142.515764
8.005000         0.933038   143.015642
8.015000         0.937590   143.519216
8.025000         0.935699   144.023029
8.035000         0.928858   144.524405
8.045000         0.920765   145.022651
8.055000         0.912437   145.517619
8.065000         0.908250   146.011540
8.075000         0.905738   146.505316
8.085000         0.894456   146.994151
8.095000         0.891654   147.482660
8.105000         0.898726   147.976261
8.115000         0.893626   148.468274
8.125000         0.882679   148.955457
8.135000         0.877853   149.441170
8.145000         0.869937   149.923687
8.155000         0.880821   150.413442
8.165000         0.874995   150.901151
8.175000         0.868576   151.386469
8.185000         0.867882   151.872586
8.195000         0.862775   152.357025
8.205000         0.850691   152.835844
8.215000         0.851973   153.316555
8.225000         0.852081   153.798497
8.235000         0.842546   154.276207
8.245000         0.838098   154.752549
8.255000         0.835180   155.228385
8.265000         0.831665   155.703367
8.275000         0.829711   156.178380
8.285000         0.827976   156.653547
8.295000         0.833114   157.132816
8.305000         0.829158   157.610961
8.315000         0.821493   158.085827
8.325000         0.815992   158.558649
8.335000         0.809349   159.028748
8.345000         0.801465   159.495386
8.355000         0.799659   159.962090
8.365000         0.800416   160.430353
8.375000         0.797749   160.898173
8.385000         0.794175   161.365010
8.395000         0.790896   161.831029
8.405000         0.798427   162.302608
8.415000         0.786966   162.768523
8.425000         0.786523   163.235284
8.435000         0.782370   163.700683
8.445000         0.775391   164.163025
8.455000         0.765941   164.620813
8.465000         0.757679   165.074737
8.475000         0.753258   165.527078
8.485000         0.749174   165.978029
8.495000         0.748764   166.429796
8.505000         0.750119   166.883447
8.515000         0.746072   167.335712
8.525000         0.746263   167.789156
8.535000         0.746463   168.243786
8.545000         0.744070   168.698021
8.555000         0.740368   169.151055
8.565000         0.736856   169.602994
8.575000         0.731337   170.052597
8.585000         0.725011   170.499351
8.595000         0.731263   170.951007
8.605000         0.732000   171.404171
8.615000         0.723806   171.853305
8.625000         0.721624   172.302124
8.635000         0.720377   172.751208
8.645000         0.716240   173.198748
8.655000         0.719982   173.649667
8.665000         0.713837   174.097771
8.675000         0.711484   174.545430
8.685000         0.708007   174.991929
8.695000         0.708653   175.439864
8.705000         0.708859   175.888961
8.715000         0.703146   176.335463
8.725000         0.701917   176.782208
8.735000         0.699170   177.228225
8.745000         0.701770   177.676926
8.755000         0.697728   178.124063
8.765000         0.691371   178.568140
8.775000         0.687907   179.011000
8.785000         0.687256   179.454451
8.795000         0.683697   179.896610
8.805000         0.683480   180.339634
8.815000         0.673336   180.777075
8.825000         0.664426   181.209707
8.835000         0.664984   181.643685
8.845000         0.657178   182.073539
8.855000         0.656064   182.503636
8.865000         0.656734   182.935145
8.875000         0.654498   183.366156
8.885000         0.652404   183.796756
8.895000         0.651137   184.227489
8.905000         0.650023   184.658451
8.915000         0.649772   185.090215
8.925000         0.641856   185.517676
8.935000         0.636105   185.942258
8.945000         0.629178   186.363156
8.955000         0.623637   186.781281
8.965000         0.623626   187.200332
8.975000         0.621776   187.619074
8.985000         0.613626   188.033247
8.995000         0.614018   188.448609
9.005000         0.603710   188.857906
9.015000         0.597266   189.263734
9.025000         0.595574   189.669311
9.035000         0.593741   190.074536
9.045000         0.589733   190.477917
9.055000         0.585982   190.879619
9.065000         0.582387   191.279739
9.075000         0.578135   191.677814
9.085000         0.580882   192.078663
9.095000         0.579756   192.479616
9.105000         0.576258   192.879027
9.115000         0.577435   193.280133
9.125000         0.572237   193.678501
9.135000         0.570009   194.076188
9.145000         0.567351   194.472888
9.155000         0.567241   194.870379
9.165000         0.567196   195.268708
9.175000         0.566631   195.667508
9.185000         0.558562   196.061486
9.195000         0.555374   196.454070
9.205000         0.559588   196.850493
9.215000         0.554892   197.244443
9.225000         0.550320   197.635997
9.235000         0.546127   198.025410
9.245000         0.543828   198.414023
9.255000         0.539967   198.800713
9.265000         0.532546   199.182913
